Time,P (deg/s),Q (deg/s),R (deg/s),P dot (deg/s^2),Q dot (deg/s^2),R dot (deg/s^2),P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),I_{xx},I_{xy},I_{xz},I_{yx},I_{yy},I_{yz},I_{zx},I_{zy},I_{zz},Mass,Weight,X_{cg},Y_{cg},Z_{cg},Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),navigation/actual-heading-rad,propulsion/tank[0]/contents-volume-gal,propulsion/tank[1]/contents-volume-gal,systems/mixture-cmd-norm,guidance/wp-heading-rad,guidance/wp-distance,guidance/wp-heading-deg,guidance/selected_target_heading,guidance/angle-to-heading-rad,ap/roll-control-autopilot-on,ap/roll-autopilot-windup-trigger,ap/limited-roll-angle-rad,ap/roll-attitude-selector,ap/limited-roll-angle-error,ap/roll-rate-pid-control,ap/total-limited-roll-rate,ap/roll-rate-saturation,ap/limited-roll-rate-error,ap/roll-command-pid-control,ap/roll-cmd-smoother,ap/roll-cmd-norm-output,ap/roll-command-selector-steering,fcs/attitude/sensor/phi-rad,fcs/wing-leveler-ap-on-off,fcs/roll-ap-error-pid,fcs/roll-ap-autoswitch,fcs/heading-true-degrees,fcs/heading-error,fcs/heading-error-bias-switch,fcs/heading-corrected,fcs/heading-command,fcs/heading-roll-error-lag,fcs/heading-roll-error,fcs/heading-roll-error-switch,fcs/heading-pi-controller,fcs/roll-command-selector,fcs/altitude-error,fcs/alt-error-lag,fcs/hdot-command,fcs/hdot-error,fcs/ap-alt-hold-switch,fcs/windup-trigger,fcs/altitude-hold-pid,fcs/elevator,fcs/pitch-trim-sum,fcs/elevator-control,fcs/elevator-actuator,fcs/roll-trim-sum,fcs/left-aileron-control,fcs/left-aileron-actuator,fcs/right-aileron-control,fcs/right-aileron-actuator,fcs/delta-aileron-pos,fcs/effective-aileron-pos,fcs/yaw-trim-sum,fcs/rudder-control,fcs/flaps-control,fcs/flap-position-normalizer,IO320 Power Available (engine 0 in ft-lbs/sec),IO320 HP (engine 0),IO320 equivalent ratio (engine 0),IO320 MAP (engine 0 in inHg),Fixed-Pitch 75-inch Two-Blade Propeller Torque (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Pitch (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Yaw (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller Thrust (engine 0 in lbs),Fixed-Pitch 75-inch Two-Blade Propeller RPM (engine 0),Fuel Tank 0,Fuel Tank 1,/fdm/jsbsim/position/vrp-gc-latitude_deg,/fdm/jsbsim/position/vrp-longitude_deg,/fdm/jsbsim/position/vrp-radius-ft,velocities/pi-deg_sec
0,0,0,0,878.1735276534943,-21237.03287566285,-0.001163682511411853,0.004178074132240403,0,9.277188200408133e-19,0,0,0,1525.92219455,0,0,0,-0.001995097474354633,-0.0002851831002596594,-1297.997856868937,1297.8865848677,-0.0002851831002596594,-0.001995097474642847,-0.001995097474347508,-0.0002851831002596594,-1330.085395081775,0,0,0,0,1525.922194545818,0,0,0,0,0,0,0, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,0,0,0,1.272221872585407e-14,0,1,0,1.110223024625157e-16,0,0.7071067811865476,0,-0.7071067811865475,0,0.7071067811865476,0,-0.7071067811865475,0,0,0,0,0,0,20925646.32546,0,0,20925646.32546,0,0,0,0,0,0.003,19.6969697,19.6969697,0.999635333,3.14159265,0,180.013259,3.14159265,3.13859265,0,1,0.523,0,0,0,0.348,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9213,0,-0,-0,0,0,130,130,6.59306903546138079e-07,-9.64579064579641711e-07,20925646.5815419964,0.00417807413224040303
0.1,13.04209256753519,-220.400533128406,-0.5349103338492491,-9.082107044662671,146.6035339338466,-2.129350372393517,13.04605875256501,-220.4005457312472,-0.5362239247034274,0.9376939904,875369.7051,28.0900689127,1526.60529145,-6.911433425084997,-0.2366581807240086,-27.22550371317327,-72.85374485297902,-5.523549606999278,51.63938638436781,-33.87332117233442,0.02023015228475104,22.3943823173942,21.78501038043878,-0.007926428753062632,-5.452160447142318,-6.911433425084997,-0.2366581807240086,-27.22550371317327,28.00446486906349,1526.34709937304,1.999517288100152,28.01559683023105,0.4245425543266713,1.999517288100152,1.999517168607709,0.424542523788233,-28.01559683922218, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,2.1670055277646,2.1670055281492,1.411368154676939,-18.3235981410317,359.7290841548011,0.9871696413064875,0.01178263911423609,-0.1592392216008419,-0.0003728300987273102,-0.5854352123913277,-0.008595215133601014,0.8106334822179495,-0.008067953664317081,0.5854351829712133,0.008598170749831468,-0.8106334508739128,0.008070088194710355,-104.24414073185,-0.48272132758348,2.4274264645944e-07,2.4437860956843e-07,6.2455340160717e-08,20925648.491909,152.6150452860697,0.08865482479003844,20925648.49246553,0.02281003078738308,0.08865482479003844,0.00041780741322404,2.1670055281492,0,6.28145693,19.6969697,19.6969697,0.999557054,-2.88976434,0.0915421964,-165.583497,-2.88976434,-2.88803597,0,1,-0.523,0,-0.0246330213,-0.174,0.348,0,-0.416048778,-1.04012195,-1.10510222,0,0,0,-1,5.89010444,0,359.755582,-359.755582,360,0.2444177,0.00426508886,4.43311759e-05,-0.0245886901,0,0,0,-2.16700553,-0.0863374384,-0.0103586217,-28.0259555,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29954,29.9221,0,-0,-0,0,0,130,130,1.09197089756059105e-06,-8.88586916064488246e-07,20925648.6680250801,13.046058752565008
0.2,12.38036338870791,-206.3585055496358,-0.7792479030613526,-4.261541754475773,134.4478469537543,-2.996023089869372,12.38357767365207,-206.358558801594,-0.7819165806329537,0.7338422271,774375.6862,24.8507936654,1526.5543064,-12.50200845590029,-0.6814062063436304,-21.46619239530494,-39.62461763758313,-3.42354319800465,59.8936388834673,-35.54239826136678,0.1074531124805413,19.56868311315844,17.18796928596397,0.002831546501011078,-9.934707527760031,-12.50200845590029,-0.6814062063436304,-21.46619239530494,24.48391134695303,1526.352437592309,4.101797697667515,24.50617677074483,0.4295364130196051,4.101797697667516,4.101797230828486,0.4295363367127872,-24.50617685022094, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,4.7913691699505,4.7913691693459,3.216842973230702,-39.68849539538919,358.675371655819,0.9402956096946506,0.02247763039356105,-0.3396131980760138,-0.00134097480883521,-0.4247465979513936,-0.01684229852369637,0.9050322012944845,-0.0149458733172693,0.4247464889530737,0.01684889812213906,-0.9050320784544442,0.01494897061791002,-120.21671705001,-1.5712413130311,1.0841693423995e-06,1.0914760964866e-06,1.7840639345867e-07,20925651.11460278,305.2496666292003,0.395961964448606,20925651.11682917,0.06515785243266237,0.395961964448606,0.00083561482644808,4.7913691693459,-3.2706509777303e-09,6.26306618,19.6969697,19.6969697,0.999462261,-2.97849846,0.401287115,-170.667962,-2.97849846,-2.95837933,0,1,-0.523,0,-0.0561445014,-0.174,0.348,0,-0.390739291,-0.976848227,-0.979072208,0,0,0,-1,9.37231823,0,358.701792,-358.701792,360,1.29820782,0.0226537264,0.000634651708,-0.0555098497,0,0,0,-4.79136917,-0.413970408,-0.0496566141,-24.5558335,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29954,29.9228,0,-0,0,0,0,130,130,2.05154312604125783e-06,-7.67922216633905483e-07,20925651.1750196442,12.38357767365207
0.3,12.06361230131463,-193.3622121475255,-1.144334808925959,-2.35083998894619,124.370198605927,-4.443601666254722,12.06571847983205,-193.3623287460807,-1.147941292016753,0.5602720482,676613.5258,21.7146495212,1526.52142214,-15.07964382581514,-0.9349741041286298,-15.59667173916241,-12.88982083291331,-1.717239807841319,55.63137659134727,-36.78111898862629,0.1879368943131429,16.05247196239308,12.03930515747915,0.006598393895216711,-11.56591229863758,-15.07964382581514,-0.9349741041286298,-15.59667173916241,20.86319973707054,1526.367491276127,5.887336336043079,20.89659900646015,0.4443249458883198,5.88733633604308,5.887335432886091,0.4443248372568099,-20.89659926322233, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,7.0625412091613,7.0625412075857,6.601182290843822,-59.64231899718001,355.8993725070105,0.8666125740295513,0.03215623028010006,-0.4979387339206589,-0.002375005166306549,-0.2606917514810762,-0.02441727279981193,0.9648834886986858,-0.02105850743527361,0.2606915211238942,0.02442782686039282,-0.9648832215606229,0.02106135892536082,-134.03441100304,-2.4677642817371,2.4597624151943e-06,2.4763399703914e-06,2.9785358985853e-07,20925653.38299157,457.8855953794808,0.8983582412982982,20925653.38800119,0.1087825496872483,0.8983582412982982,0.0012534222396721,7.0625412075857,0,6.21461586,19.6969697,19.6969697,0.999380231,-3.02108896,0.904920227,-173.108397,-3.02108896,-2.9525195,0,1,-0.523,0,-0.115212365,-0.174,0.348,0,-0.384900828,-0.962252071,-0.963372406,0,0,0,-1,20.5090943,0,355.925589,-355.925589,360,4.07441145,0.0710984798,0.00269567323,-0.112516692,0,0,0,-7.06254121,-0.94323447,-0.11312152,-21.0097208,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9228,0,-0,0,0,0,130,130,3.42428332551221263e-06,-6.51126364153081644e-07,20925653.3292564191,12.06571847983205
0.4,11.8305421243565,-181.5057869560134,-1.64889955983075,-2.610441705364035,110.8684339363901,-5.670233994395862,11.83137591975048,-181.5059812034585,-1.65298897991501,0.4147544629,582142.1511,18.6836182395,1526.50217087,-15.38546863051862,-1.039051510299963,-10.54918563194764,5.576952180759932,-0.4466162635167472,44.27376550200431,-37.45692664746196,0.21982632244987,12.25574294299037,7.576814664970533,0.006100513835528236,-10.97688267421404,-15.38546863051862,-1.039051510299963,-10.54918563194764,17.14627049809295,1526.388399295058,7.303257638093923,17.19080413594926,0.4650500511474026,7.303257638093924,7.303256347013045,0.4650499244496447,-17.19080468787319, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,8.967473320663,8.967473324251,19.02141077800367,-78.01996968688979,344.0348698278633,0.7733735367311002,0.04093499280830017,-0.6326183337881081,-0.003426777344981064,-0.09952892105735545,-0.03136851116849268,0.9941863895591567,-0.026522315049022,0.09952853423922778,0.03138301060812433,-0.9941859319678434,0.02652376659887766,-145.56316379319,-3.1880332653323,4.2742781078466e-06,4.3030845788818e-06,4.2227499954424e-07,20925655.284027,610.523363242891,1.561058616725967,20925655.29293326,0.1542239437944772,1.561058616725967,0.0016712296528962,8.967473324251,-3.2706509777303e-09,6.00754122,19.6969697,19.6969697,0.999311433,-3.04311775,1.56865768,-174.370647,-3.04311775,-2.76747366,0,1,-0.523,0,-0.331986246,-0.174,0.348,0,-0.380849878,-0.952124694,-0.953180433,0,0,0,-1,95.9725849,0,344.060212,-344.060212,360,15.9397881,0.278149302,0.00962300942,-0.322363237,0,0,0,-8.96747332,-1.62062503,-0.194329674,-17.3851344,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9225,0,-0,0,0,0,130,130,5.13698846432501563e-06,-5.35334833206712698e-07,20925655.131470181,11.831375919750478
0.5,11.50892913245399,-171.2103410046613,-2.250796048738251,-4.064557126867066,92.89169333298618,-6.316030258212736,11.50848429762028,-171.2106194405124,-2.254941033527373,0.2977758552,493255.6546,15.8314220119,1526.49093097,-14.25399710480061,-1.038286285920287,-6.810246034095846,15.8958440038609,0.3788828123191643,30.09661733341198,-37.57657029023111,0.1898283792539938,8.596415538316203,4.400158018192534,0.003714017426817964,-9.137513435481132,-14.25399710480061,-1.038286285920287,-6.810246034095846,13.39015880064204,1526.409400673276,8.343111126274142,13.44582727155258,0.485951271555309,8.343111126274147,8.343109608408426,0.4859511418891421,-13.44582821807168, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,10.499401610345,10.499401610648,147.1371222503142,-82.39256555262934,216.4634845195869,-0.6666181841753493,-0.04884482802363437,0.7437835746307265,0.004513691575693377,0.05456422730666153,-0.03773017408222951,0.9973046445874746,-0.03134684906657949,-0.05456479875966517,0.03774835522635472,-0.99730395658983,0.03134585433981957,-154.46255588024,-3.7603792806007,6.4246775656022e-06,6.4679766373739e-06,5.525375234203e-07,20925656.81094512,763.1632785616894,2.346431082545636,20925656.82486148,0.2017986437432455,2.346431082545636,0.0020890370661202,10.499401610648,9.8119529331909e-09,3.78100052,19.6969697,19.6969697,0.999256109,-3.05580138,2.35509149,-175.097419,-3.05580138,-0.553616587,0,1,-0.523,0,-2.56802724,-0.174,0.348,0,-0.375438791,-0.938596977,-0.940203652,0,0,0,-1,372.907961,0,216.47943,-216.47943,360,30,0.5235,0.0326741106,-2.53535312,0,0,0,-10.4994016,-2.39682114,-0.287366884,-13.7331951,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9218,0,-0,0,0,0,130,130,7.11437930222867487e-06,-4.18318575609267274e-07,20925656.5830185302,11.5084842976202779
0.6,11.01896013129131,-162.8538464170604,-2.889202084838896,-5.89951476955057,72.37302724965782,-6.368761277757586,11.0173438867705,-162.8542088437653,-2.893037799112286,0.2094049059,413633.8651,13.2762666908,1526.48190308,-12.44994249343797,-0.976286270231725,-4.506112989474731,19.19678446724711,0.7860778108666644,16.01759330864258,-37.25581652754563,0.1086910219722363,5.395083891966068,2.538194880705196,0.001087561035356626,-6.946247044819995,-12.44994249343797,-0.976286270231725,-4.506112989474731,9.645466087053503,1526.424674047284,9.037691594580133,9.712269582912459,0.501205980967334,9.037691594580135,9.037690090871052,0.5012058643662276,-9.712270988196558, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,11.657035227865,11.65703522614,169.7483331549514,-66.45975156759042,194.4034882102419,-0.5508708988105177,-0.05587060449272368,0.8326986317042756,0.005719891182319949,0.1992823770039003,-0.04355106027595796,0.9783313815816568,-0.0354619116382934,-0.1992831527332279,0.04357246258036285,-0.9783304286095349,0.03545755205977642,-160.10286161715,-4.2171207644207,8.8114745330242e-06,8.8708594037941e-06,6.8786716009671e-07,20925657.96245502,915.8050504271731,3.218141091132706,20925657.98249498,0.2512239653932511,3.218141091132706,0.0025068444793442,11.65703522614,0,3.39598095,19.6969697,19.6969697,0.999214304,-3.06368572,3.22793028,-175.549192,-3.06368572,-0.176481363,0,1,-0.176481363,0,-2.96266731,-0.174,0.348,0,-0.367152924,-0.91788231,-0.920275276,0,0,0,-1,170.543611,0,194.417808,-194.417808,360,30,0.5235,0.0566120055,-2.90605531,0,0,0,-11.6570352,-3.22682157,-0.386842437,-10.0991134,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9209,0,-0,0,0,0,130,130,9.2838146241277898e-06,-2.99646373559393514e-07,20925657.6861372069,11.0173438867705045
0.7,10.34824742082306,-156.5343635690169,-3.511465710883137,-7.610719177126183,52.91871569309217,-5.989397041999745,10.34564094776219,-156.5348045275335,-3.514701164054495,0.1493832696,349357.8209,11.2134311128,1526.47105505,-10.60609685223958,-0.8922701019714223,-3.529249346151331,16.89950911662438,0.8329067670254273,3.833452337727994,-36.693213735091,0.0004879669804607153,2.847613870548562,1.695697634499403,-0.0009496879561430161,-5.043169889213281,-10.60609685223958,-0.8922701019714223,-3.529249346151331,5.946989636710478,1526.430257439831,9.443748379671085,6.024927965293431,0.5068499538848283,9.443748379671081,9.44374717838968,0.5068498670143846,-6.024929855544586, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,12.443421702832,12.443421702456,174.0205291773116,-50.58886938281309,190.6982486836273,-0.4292264400744815,-0.0619834856280044,0.9010389855808389,0.007173361404733578,0.333621944430634,-0.0489012784198912,0.9406396696467175,-0.03875661298588134,-0.3336229334838506,0.04892528578821782,-0.9406384212622438,0.03874809813971079,-161.5947932609,-4.5639388876586,1.1347451947734e-05,1.1423928017598e-05,8.26119387902e-07,20925658.74160423,1068.447887570549,4.144335051770111,20925658.76888129,0.3017166807137528,4.144335051770111,0.0029246518925683,12.443421702456,-3.2706509777303e-09,3.33131232,19.6969697,19.6969697,0.999185907,-3.06891867,4.15530087,-175.84904,-3.06891867,-0.117045684,0,1,-0.117045684,0,-3.0372312,-0.174,0.348,0,-0.355698912,-0.889247281,-0.892410961,0,0,0,-1,159.835066,0,190.712296,-190.712296,360,30,0.5235,0.0793824338,-2.95784877,0,0,0,-12.4434217,-4.07000703,-0.487894395,-6.51282425,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9199,0,-0,0,0,0,130,130,1.15809264323400724e-05,-1.80406923824202598e-07,20925658.4444446377,10.3456409477621882
0.8,9.521763896758282,-151.9514647422886,-4.082940003426293,-8.961026186676801,38.78685297614831,-5.356053783766517,9.518394718567128,-151.9519751983095,-4.085357517939479,0.1172786698,309547.5057,9.93572876578,1526.45667104,-9.212086612463439,-0.8185685856733661,-3.631268624348504,10.42555012880901,0.5962350481781551,-5.383518924073808,-36.15868592857878,-0.115426359065309,0.9772476591846009,1.50873484471667,-0.002278449548994297,-3.791116658556256,-9.212086612463439,-0.8185685856733661,-3.631268624348504,2.3059375007011,1526.424554265348,9.62971165661893,2.395010088067898,0.5012845455305599,9.629711656618932,9.629711069023585,0.501284505217915,-2.395012459072054, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,12.863968726248,12.863968734218,175.9356122204082,-35.18367001066051,189.3740297009315,-0.3037960135471801,-0.0671605592190459,0.950324303987787,0.009008811706038681,0.4571646475295484,-0.05385988111893609,0.8867969244188251,-0.04111949776384135,-0.4571658467274963,0.05388574759663848,-0.8867953530317944,0.04110616295761614,-158.48637278466,-4.7257473853134,1.3962921971387e-05,1.4057024980547e-05,9.6439860697173e-07,20925659.15380049,1221.090724639394,5.09956141525412,20925659.1894281,0.35221925146584,5.09956141525412,0.0033424593057923,12.863968734218,3.2706509777303e-09,3.30820034,19.6969697,19.6969697,0.999170721,-3.07263363,5.11170741,-176.061907,-3.07263363,-0.0976486605,0,1,-0.0976486605,0,-3.0706557,-0.174,0.348,0,-0.341475538,-0.853688846,-0.857481989,0,0,0,-1,157.8632,0,189.387979,-189.387979,360,30,0.5235,0.101042334,-2.96961337,0,0,0,-12.8639687,-4.89004644,-0.586176519,-2.98118898,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.9189,0,-0,0,0,0,130,130,1.39548178081933005e-05,-6.24839623676684415e-08,20925658.8623196147,9.51839471856713004
0.9,8.581133593977203,-148.3994644208684,-4.583219616544725,-9.836548907926764,33.39084576340183,-4.556482555175465,8.577257979971934,-148.4000333935256,-4.584672953963239,0.1126875099,303427.8521,9.73931657353,1526.43774513,-8.61275025582087,-0.7794250842908377,-4.479655889501009,1.268193106729923,0.1585463792348443,-10.9973250887848,-35.93157220244038,-0.2480585516709173,-0.4623121432643171,1.750641292462439,-0.003183792220761668,-3.338153321526907,-8.61275025582087,-0.7794250842908377,-4.479655889501009,-1.295054212998746,1526.406669227388,9.653638812116235,-1.194848330370201,0.483613970145559,9.653638812116231,9.653639160754661,0.4836139930752679,1.19484550430218, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,12.923786882311,12.923786880337,177.1048182279751,-20.1582847934994,188.8342330331646,-0.1763484373673969,-0.07139605534719999,0.9816697957233436,0.01132449042675814,0.5694483133984165,-0.05849226052012828,0.8188424617166447,-0.04247701398132204,-0.5694497069545461,0.05851913040892119,-0.8188405418804767,0.04245832778681058,-152.52019727187,-4.5902168305824,1.6606133222912e-05,1.6718050134393e-05,1.0995333249014e-06,20925659.20415445,1373.732395657514,6.064919409830161,20925659.24924599,0.4015733774042474,6.064919409830161,0.0037602667190164,12.923786880337,3.2706509777303e-09,3.29877911,19.6969697,19.6969697,0.99916856,-3.07547668,6.07819568,-176.224814,-3.07547668,-0.0910704762,0,1,-0.0910704762,0,-3.0910622,-0.174,0.348,0,-0.325192163,-0.812980408,-0.817206153,0,0,0,-1,157.469783,0,188.848143,-188.848143,360,30,0.5235,0.121645866,-2.96941633,0,0,0,-12.9237869,-5.65458904,-0.677819897,0.517025607,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,-825,-1.5,1.29953,29.918,0,-0,0,0,0,130,130,1.6369813089036169e-05,5.205105927068748e-08,20925658.9428809881,8.57725797997193418
