t_s,h_sl_m,position_h-sl-ft,h_agl_m,position_h-agl-ft,lat_deg,lon_deg,x_north_m,x_east_m,vtrue_mps,velocities_vtrue-fps,mach,u_mps,velocities_u-fps,v_mps,velocities_v-fps,w_mps,velocities_w-fps,vn_mps,velocities_v-north-fps,ve_mps,velocities_v-east-fps,vd_mps,velocities_v-down-fps,p_radps,q_radps,r_radps,phi_rad,theta_rad,psi_rad,alpha_rad,beta_rad,nx_g,ny_g,nz_g,throttle,elevator,aileron,rudder,thrust_lb,fuel_lb,mass_kg,inertia_mass-slugs,temp_K,atmosphere_T-R,rho_kgpm3,atmosphere_rho-slugs_ft3
0.000000,4572.019389,15000.063612,4572.000000,15000.000000,30.166804,120.000000,0.000000,0.000000,273.862800,898.500000,0.849763,273.862800,898.500000,0.000000,0.000000,-0.000000,-0.000000,273.862800,898.500000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.470222,-0.000000,0.207149,0.000000,0.000000,0.000000,0.000000,0.000000,7000.000000,9076.383200,621.929804,258.453233,465.215819,0.771091,0.001496
0.100000,4571.982253,14999.941775,4571.962864,14999.878163,30.167050,120.000000,27.342963,0.000100,273.375692,896.901877,0.848251,273.374004,896.896340,0.001950,0.006398,0.960552,3.151418,273.374739,896.898750,0.001983,0.006507,0.721866,2.368328,-0.000011,0.017466,0.000004,-0.000000,0.000873,0.000000,0.003514,0.000007,-0.530039,-0.000050,0.314556,0.000000,0.000000,0.000000,0.000000,0.000000,4700.000000,8033.120763,550.443620,258.453474,465.216253,0.771094,0.001496
0.200000,4571.878769,14999.602260,4571.859380,14999.538649,30.167297,120.000000,54.645800,0.000395,273.128633,896.091317,0.847483,273.120472,896.064540,0.003625,0.011892,2.111446,6.927316,273.125392,896.080682,0.003924,0.012874,1.330673,4.365726,-0.000042,0.019510,0.000017,-0.000003,0.002859,0.000001,0.007731,0.000013,-0.212953,-0.000092,0.418821,0.000000,0.000000,0.000000,0.000000,5449.685709,4699.983504,8033.114069,550.443161,258.454146,465.217462,0.771102,0.001496
0.300000,4571.719307,14999.079091,4571.699919,14999.015481,30.167543,120.000000,81.926269,0.000883,272.868615,895.238237,0.846675,272.850758,895.179651,0.004854,0.015925,3.121692,10.241770,272.862384,895.217796,0.005836,0.019149,1.843925,6.049623,-0.000084,0.016338,0.000034,-0.000009,0.004683,0.000004,0.011441,0.000018,-0.302172,-0.000116,0.510529,0.000000,0.000000,0.000000,0.000000,3860.931933,4699.961163,8033.104040,550.442474,258.455181,465.219325,0.771115,0.001496
0.400000,4571.512626,14998.401003,4571.493238,14998.337395,30.167789,120.000000,109.176376,0.001561,272.530114,894.127671,0.845622,272.501558,894.033984,0.005560,0.018242,3.945091,12.943213,272.520593,894.096435,0.007732,0.025368,2.277974,7.473669,-0.000127,0.011674,0.000052,-0.000019,0.006118,0.000008,0.014476,0.000020,-0.373892,-0.000124,0.584657,0.000000,0.000000,0.000000,0.000000,2572.456388,4699.936043,8033.092751,550.441700,258.456522,465.221740,0.771132,0.001496
0.500000,4571.265747,14997.591035,4571.246361,14997.527430,30.168034,120.000000,136.389137,0.002428,272.130856,892.817769,0.844381,272.092558,892.692121,0.005755,0.018881,4.565344,14.978164,272.117943,892.775404,0.009621,0.031563,2.650961,8.697378,-0.000165,0.005996,0.000068,-0.000033,0.007035,0.000014,0.016777,0.000021,-0.427221,-0.000117,0.639750,0.000000,0.000000,0.000000,0.000000,1605.224798,4699.908147,8033.080202,550.440841,258.458125,465.224624,0.771153,0.001496
0.600000,4570.984881,14996.669557,4570.965495,14996.605956,30.168279,120.000000,163.559146,0.003483,271.683655,891.350574,0.842990,271.639426,891.205465,0.005522,0.018115,4.902113,16.083047,271.667520,891.297636,0.011506,0.037751,2.960927,9.714328,-0.000181,-0.005170,0.000081,-0.000051,0.007146,0.000021,0.018044,0.000020,-0.468539,-0.000101,0.693722,0.000000,0.000000,0.000000,0.000000,935.677375,4699.877472,8033.066393,550.439894,258.459948,465.227906,0.771176,0.001496
0.700000,4570.673879,14995.649210,4570.654495,14995.585612,30.168524,120.000000,190.682639,0.004728,271.209115,889.793683,0.841514,271.164369,889.646881,0.004993,0.016380,4.926316,16.162455,271.189521,889.729400,0.013396,0.043949,3.259966,10.695427,-0.000179,-0.015395,0.000090,-0.000069,0.006145,0.000030,0.018165,0.000018,-0.491261,-0.000079,0.690674,0.000000,0.000000,0.000000,0.000000,501.691061,4699.851682,8033.054240,550.439062,258.461966,465.231539,0.771202,0.001496
0.800000,4570.332309,14994.528572,4570.312925,14994.464978,30.168768,120.000000,217.757524,0.006161,270.719951,888.188816,0.839993,270.678679,888.053409,0.004315,0.014155,4.727007,15.508554,270.696332,888.111325,0.015292,0.050172,3.575986,11.732237,-0.000162,-0.022519,0.000093,-0.000086,0.004252,0.000039,0.017462,0.000016,-0.503985,-0.000056,0.663628,0.000000,0.000000,0.000000,0.000000,236.171246,4699.832912,8033.045682,550.438475,258.464183,465.235530,0.771230,0.001496
0.900000,4569.957551,14993.299053,4569.938169,14993.235464,30.169012,120.000000,244.782734,0.007784,270.224938,886.564758,0.838453,270.188793,886.446172,0.003621,0.011880,4.419649,14.500162,270.196424,886.471208,0.017198,0.056425,3.925471,12.878841,-0.000130,-0.025577,0.000093,-0.000101,0.001829,0.000049,0.016356,0.000013,-0.509717,-0.000035,0.624378,0.000000,0.000000,0.000000,0.000000,86.387549,4699.814158,8033.037176,550.437892,258.466616,465.239908,0.771261,0.001496
